OBJECTID,geometry,minx,miny,maxx,maxy,center_x,center_y,height
221929,"POLYGON ((-84.4200302374973 33.7595204642805, -84.4200314745466 33.7591395843658, -84.4201630566885 33.7591400048868, -84.42016181725 33.7595206089002, -84.4200302374973 33.7595204642805))",-84.4201630566885,33.7591395843658,-84.4200302374973,33.7595206089002,33.759330096633,2-84.42009664709289,4
5500300,"POLYGON ((-84.4171082003924 33.7403555694373, -84.4171082802573 33.740383051761, -84.4170753845589 33.7403831184788, -84.4170753047045 33.7403556361551, -84.4171082003924 33.7403555694373))",-84.4171082802573,33.7403555694373,-84.4170753047045,33.7403831184788,-84.4170917924809,33.74036934395805,24
315007,"POLYGON ((-84.4098145841538 33.7253447768361, -84.4098841138325 33.7253572514273, -84.4099685897911 33.7253724060198, -84.4099715840805 33.7258396820344, -84.4098177935026 33.7258415465919, -84.4098145841538 33.7253447768361))",-84.4099715840805,33.7253447768361,-84.4098145841538,33.7258415465919,-84.40989308411716,33.725593161714,24
241835,"POLYGON ((-84.4393111689213 33.715510019547, -84.4397426137923 33.7155110230542, -84.4397435600495 33.7156831441233, -84.4393098344403 33.7156821240163, -84.4393111689213 33.715510019547))",-84.4397435600495,33.715510019547,-84.4393098344403,33.7156831441233,-84.4395266972449,33.71559658183514,24
3789,"POLYGON ((-84.2872922522103 34.0874735128261, -84.2873262892483 34.0872119959416, -84.2875041315418 34.0872217695149, -84.2879412467113 34.0872457967788, -84.2878900462566 34.0875139539769, -84.2875045095815 34.0874878688398, -84.2872922522103 34.0874735128261))",-84.2879412467113,34.0872119959416,-84.2872922522103,34.0875139539769,-84.2876167494608,34.08736297495925,24
38195,"POLYGON ((-84.3344321594438 34.0468511234584, -84.3344340431371 34.0467741916346, -84.3345792740747 34.046776655827, -84.3345773905107 34.0468535867509, -84.3344321594438 34.0468511234584))",-84.3345792740747,34.0467741916346,-84.3344321594438,34.0468535867509,-84.33450571675925,34.04681388919275,24
5638765,"POLYGON ((-84.398084627883 33.7916086950063, -84.3980847018241 33.7916361771399, -84.3980517864911 33.7916362388715, -84.3980517125604 33.791608756738, -84.398084627883 33.7916086950063))",-84.3980847018241,33.7916086950063,-84.3980517125604,33.7916362388715,-84.39806820719225,33.791622466938904,24
6103960,"POLYGON ((-84.3953022219621 33.81563720595, -84.3953022950805 33.8156646879817, -84.3952693705403 33.8156647490091, -84.3952692974325 33.8156372669774, -84.3953022219621 33.81563720595))",-84.3953022950805,33.81563720595,-84.3952692974325,33.8156647490091,-84.3952857962565,33.81565097747955,24
250918,"POLYGON ((-84.4599240784634 33.6809564984645, -84.4604081884272 33.681249643641, -84.4601818884906 33.6813475844643, -84.4601630797697 33.6813557251746, -84.4597813720928 33.6811245482938, -84.459812526698 33.6810875170005, -84.4598614313523 33.6810297819628, -84.4599240784634 33.6809564984645))",-84.4604081884272,33.6809564984645,-84.4597813720928,33.6813557251746,-84.46009478026,33.68115611181955,24
304769,"POLYGON ((-84.3957050619435 33.7056560992123, -84.3957011628009 33.7056328327426, -84.3960298688453 33.7055915408002, -84.3960370150797 33.7056341896677, -84.3957083274917 33.7056755852861, -84.3957050619435 33.7056560992123))",-84.3960370150797,33.7055915408002,-84.3957011628009,33.7056755852861,-84.3958690889403,33.70563356304315,24
56176,"POLYGON ((-84.2298376748354 34.0745636404648, -84.2299327416847 34.0746127807226, -84.2301097756398 34.0747042894722, -84.230181590847 34.0747413969237, -84.2299370928297 34.0751707292728, -84.2295913801497 34.0751291090202, -84.2295817826463 34.0751277407815, -84.229572215379 34.0751262345801, -84.2295626815977 34.0751245895129, -84.22955318347 34.0751228064803, -84.2295437231637 34.0751208863828, -84.2295343050127 34.0751188292182, -84.2295249322683 34.0751166358866, -84.229515606014 34.0751143063872, -84.2295063295016 34.0751118425218, -84.2294922042896 34.0751078123325, -84.2298376748354 34.0745636404648))",-84.230181590847,34.0745636404648,-84.2294922042896,34.0751707292728,-84.2298368975683,34.0748671848688,24
328917,"POLYGON ((-84.6552627173021 33.6251772646031, -84.6552453086925 33.6250031607935, -84.6556625064657 33.6249997943152, -84.6556813976714 33.6250000631558, -84.6556921826199 33.6251645741416, -84.6555985709723 33.6251673489875, -84.6552627173021 33.6251772646031))",-84.6556921826199,33.6249997943152,-84.6552453086925,33.6251772646031,-84.65546874565621,33.62508852945915,24
6783641,"POLYGON ((-84.3967670587471 33.7921547356439, -84.3967671322688 33.7921822177775, -84.3967342167238 33.7921822791586, -84.3967341432126 33.7921547970249, -84.3967670587471 33.7921547356439))",-84.3967671322688,33.7921547356439,-84.3967341432126,33.7921822791586,-84.3967506377407,33.79216850740125,24
